,crop,Soil_Type,Pesticide_Use_Category,Season,rainfall,Crop_Damage
49,0,0,Lamba-Cyhalothrin,2,128,94
50,1,0,Chlormequat,1,249,99
51,1,1,Chlormequat,1,128,96
52,0,0,Amidosulfuron,1,245,86
53,1,0,Lamba-Cyhalothrin,2,106,85
54,1,0,Chlormequat,2,283,93
55,1,0,Amidosulfuron,1,196,90
56,1,0,Lamba-Cyhalothrin,1,135,87
57,1,0,Chlormequat,1,259,95
58,1,0,Chlormequat,3,113,93
59,1,1,Chlormequat,3,219,83
60,0,1,Chlormequat,2,105,86
61,0,1,Amidosulfuron,1,280,94
62,1,1,Amidosulfuron,1,212,83
63,1,0,Chlormequat,1,206,85
64,1,0,Lamba-Cyhalothrin,2,168,93
65,0,1,Lamba-Cyhalothrin,3,186,82
66,0,0,Lamba-Cyhalothrin,2,93,97
67,0,0,Amidosulfuron,1,220,81
68,0,0,Lamba-Cyhalothrin,3,195,81
69,1,1,Chlormequat,1,84,90
70,1,0,Chlormequat,3,164,89
71,0,0,Lamba-Cyhalothrin,3,243,97
72,0,0,Chlormequat,2,272,87
73,1,0,Lamba-Cyhalothrin,1,204,87
74,1,0,Chlormequat,1,172,80
75,1,0,Chlormequat,3,177,86
76,0,1,Lamba-Cyhalothrin,3,131,94
77,1,0,Lamba-Cyhalothrin,2,149,92
78,0,1,Lamba-Cyhalothrin,2,184,83
79,0,0,Lamba-Cyhalothrin,3,204,90
80,0,0,Amidosulfuron,1,139,92
81,1,0,Chlormequat,3,125,88
82,1,1,Chlormequat,3,261,95
83,1,0,Lamba-Cyhalothrin,1,230,87
84,0,0,Chlormequat,1,71,83
85,1,1,Chlormequat,3,104,84
86,1,0,Chlormequat,3,180,93
87,0,0,Amidosulfuron,3,123,80
88,0,1,Chlormequat,3,103,95
89,0,1,Lamba-Cyhalothrin,1,268,85
90,0,1,Chlormequat,3,188,84
91,1,0,Amidosulfuron,3,285,94
92,0,0,Amidosulfuron,1,112,92
93,1,0,Lamba-Cyhalothrin,1,283,99
94,1,1,Amidosulfuron,1,148,99
95,0,1,Chlormequat,1,83,83
96,0,0,Chlormequat,3,276,96
97,1,1,Amidosulfuron,2,138,89
98,1,0,Chlormequat,1,69,88
99,1,0,Chlormequat,3,264,96
100,0,0,Chlormequat,2,187,93
101,1,0,Amidosulfuron,1,67,93
102,1,0,Chlormequat,1,261,89
103,0,0,Lamba-Cyhalothrin,2,252,82
104,0,0,Chlormequat,3,97,89
105,0,0,Lamba-Cyhalothrin,1,149,88
106,0,1,Amidosulfuron,1,146,91
107,0,1,Chlormequat,3,155,81
108,0,0,Lamba-Cyhalothrin,2,89,92
109,1,0,Chlormequat,2,129,92
110,0,1,Chlormequat,3,83,96
111,1,1,Chlormequat,2,208,83
112,1,0,Lamba-Cyhalothrin,1,150,96
113,0,1,Lamba-Cyhalothrin,3,145,94
114,0,1,Lamba-Cyhalothrin,3,163,89
115,0,0,Lamba-Cyhalothrin,2,298,91
116,0,0,Chlormequat,1,205,86
117,1,0,Chlormequat,3,248,82
118,1,1,Lamba-Cyhalothrin,3,294,89
119,0,0,Chlormequat,1,240,97
120,0,0,Amidosulfuron,2,288,98
121,0,1,Amidosulfuron,1,167,82
122,1,1,Chlormequat,3,211,96
123,1,1,Lamba-Cyhalothrin,2,134,91
124,0,1,Chlormequat,2,153,99
125,1,1,Chlormequat,3,271,94
126,1,1,Lamba-Cyhalothrin,2,205,85
127,0,1,Amidosulfuron,2,187,81
128,0,1,Chlormequat,2,95,97
129,0,1,Lamba-Cyhalothrin,3,138,92
130,1,0,Amidosulfuron,3,73,83
131,1,1,Chlormequat,1,120,98
132,1,1,Lamba-Cyhalothrin,1,279,80
133,1,0,Chlormequat,1,206,93
134,0,0,Lamba-Cyhalothrin,1,169,91
135,1,0,Chlormequat,3,250,99
136,1,0,Chlormequat,3,121,84
137,0,0,Lamba-Cyhalothrin,1,114,94
138,1,1,Lamba-Cyhalothrin,2,230,80
139,0,1,Amidosulfuron,3,221,95
140,1,0,Chlormequat,2,221,87
141,0,1,Lamba-Cyhalothrin,2,295,99
142,1,0,Chlormequat,2,124,89
143,1,0,Chlormequat,1,178,82
144,1,0,Amidosulfuron,2,244,97
145,0,0,Lamba-Cyhalothrin,3,176,89
146,0,0,Chlormequat,1,268,86
147,0,0,Lamba-Cyhalothrin,2,263,83
148,1,1,Chlormequat,1,93,97
149,0,0,Chlormequat,3,152,89
150,0,0,Chlormequat,3,79,93
151,1,0,Lamba-Cyhalothrin,3,282,84
152,0,1,Amidosulfuron,1,67,83
153,0,1,Lamba-Cyhalothrin,3,89,95
154,1,0,Lamba-Cyhalothrin,1,163,86
155,1,1,Lamba-Cyhalothrin,3,267,91
156,1,0,Chlormequat,2,115,96
157,0,1,Lamba-Cyhalothrin,2,137,81
158,0,1,Lamba-Cyhalothrin,3,177,90
159,0,0,Chlormequat,2,143,89
160,0,1,Lamba-Cyhalothrin,1,78,81
161,0,0,Chlormequat,3,190,90
162,0,0,Lamba-Cyhalothrin,2,209,91
163,1,1,Chlormequat,1,275,82
164,1,1,Amidosulfuron,1,175,84
165,0,1,Amidosulfuron,2,291,93
166,0,1,Lamba-Cyhalothrin,2,235,92
167,0,0,Chlormequat,1,240,93
168,0,0,Lamba-Cyhalothrin,1,176,95
169,0,1,Lamba-Cyhalothrin,3,227,87
170,1,0,Chlormequat,3,205,96
171,0,1,Chlormequat,2,288,93
172,0,1,Chlormequat,2,287,89
173,1,0,Amidosulfuron,3,229,92
174,0,0,Amidosulfuron,3,124,90
175,0,0,Lamba-Cyhalothrin,3,185,93
176,1,0,Amidosulfuron,1,120,95
177,0,1,Chlormequat,2,247,84
178,1,1,Lamba-Cyhalothrin,3,237,99
179,0,0,Amidosulfuron,1,163,92
180,1,0,Chlormequat,3,172,95
181,1,1,Chlormequat,3,62,83
182,1,0,Chlormequat,3,129,88
183,1,0,Lamba-Cyhalothrin,3,67,90
184,1,1,Chlormequat,2,163,93
185,0,0,Chlormequat,1,194,94
186,0,1,Lamba-Cyhalothrin,1,230,82
187,1,1,Amidosulfuron,1,64,81
188,0,1,Chlormequat,3,281,88
189,1,0,Amidosulfuron,3,165,80
190,0,1,Chlormequat,2,200,94
191,0,1,Chlormequat,1,83,93
192,0,0,Lamba-Cyhalothrin,1,158,90
193,0,1,Amidosulfuron,1,113,91
194,1,0,Chlormequat,3,137,95
195,0,1,Amidosulfuron,3,240,97
196,0,1,Amidosulfuron,2,195,93
197,0,0,Chlormequat,2,194,84
198,1,1,Chlormequat,2,168,94
199,1,0,Chlormequat,1,130,93
200,0,1,Lamba-Cyhalothrin,1,75,94
201,0,0,Chlormequat,3,282,85
202,1,0,Lamba-Cyhalothrin,1,258,90
203,0,1,Chlormequat,1,122,81
204,0,0,Chlormequat,1,254,94
205,1,1,Chlormequat,1,90,99
206,1,0,Lamba-Cyhalothrin,3,82,92
207,0,0,Amidosulfuron,1,216,84
208,0,0,Amidosulfuron,2,232,95
209,0,1,Chlormequat,3,199,98
210,0,0,Chlormequat,2,145,91
211,0,0,Lamba-Cyhalothrin,2,235,99
212,1,0,Chlormequat,2,122,95
213,1,0,Amidosulfuron,3,111,98
214,0,0,Chlormequat,1,183,80
215,0,0,Amidosulfuron,2,195,94
216,1,0,Chlormequat,1,249,92
217,0,1,Amidosulfuron,3,297,89
218,0,0,Chlormequat,3,117,82
219,0,0,Amidosulfuron,2,127,81
220,1,0,Amidosulfuron,3,258,80
221,0,1,Chlormequat,2,102,93
222,1,1,Amidosulfuron,3,250,88
223,0,1,Chlormequat,1,226,94
224,1,1,Chlormequat,2,127,93
225,0,1,Amidosulfuron,3,165,96
226,1,1,Lamba-Cyhalothrin,1,272,89
227,0,1,Chlormequat,3,249,96
228,0,0,Amidosulfuron,1,231,88
229,1,1,Amidosulfuron,2,243,95
230,1,1,Lamba-Cyhalothrin,1,86,91
231,1,0,Amidosulfuron,3,160,98
232,1,0,Amidosulfuron,2,163,87
233,0,0,Lamba-Cyhalothrin,2,60,82
234,0,0,Amidosulfuron,2,96,96
235,1,0,Lamba-Cyhalothrin,1,276,87
236,0,0,Amidosulfuron,1,254,84
237,0,1,Amidosulfuron,1,97,99
238,1,1,Lamba-Cyhalothrin,3,103,95
239,0,0,Lamba-Cyhalothrin,3,143,91
240,1,0,Chlormequat,1,216,91
241,1,1,Chlormequat,1,220,88
242,1,1,Chlormequat,3,207,94
243,0,1,Lamba-Cyhalothrin,2,73,87
244,0,1,Amidosulfuron,1,85,85
245,0,1,Amidosulfuron,1,236,87
246,1,0,Amidosulfuron,3,264,92
247,0,0,Lamba-Cyhalothrin,3,64,96
248,1,1,Amidosulfuron,2,296,99
249,0,0,Chlormequat,1,247,95
250,0,1,Chlormequat,1,201,81
251,1,1,Amidosulfuron,1,264,86
252,1,0,Chlormequat,1,92,94
253,1,1,Lamba-Cyhalothrin,2,205,90
254,1,1,Lamba-Cyhalothrin,3,117,84
255,0,1,Lamba-Cyhalothrin,2,65,97
256,0,0,Chlormequat,3,192,83
257,0,1,Lamba-Cyhalothrin,3,175,80
258,0,0,Chlormequat,2,127,84
259,1,1,Lamba-Cyhalothrin,1,123,84
260,1,1,Lamba-Cyhalothrin,1,193,87
261,1,1,Lamba-Cyhalothrin,1,238,87
262,0,1,Amidosulfuron,2,227,92
263,0,0,Lamba-Cyhalothrin,3,244,85
264,1,0,Chlormequat,1,246,95
265,1,1,Lamba-Cyhalothrin,3,131,94
266,0,0,Chlormequat,3,229,87
267,1,1,Lamba-Cyhalothrin,1,150,83
268,1,0,Chlormequat,1,194,96
269,1,0,Chlormequat,1,86,81
270,0,0,Lamba-Cyhalothrin,3,61,96
271,1,1,Lamba-Cyhalothrin,3,177,86
272,0,0,Chlormequat,2,107,95
273,0,1,Amidosulfuron,2,198,95
274,1,1,Chlormequat,3,72,96
275,1,1,Amidosulfuron,1,233,86
276,0,1,Chlormequat,3,223,94
277,0,0,Lamba-Cyhalothrin,2,222,81
278,0,0,Lamba-Cyhalothrin,3,69,83
279,0,1,Lamba-Cyhalothrin,3,295,81
280,1,0,Amidosulfuron,1,152,87
281,1,0,Chlormequat,2,259,90
282,1,1,Lamba-Cyhalothrin,1,101,97
283,0,0,Lamba-Cyhalothrin,1,207,84
284,0,0,Lamba-Cyhalothrin,1,246,93
285,0,0,Lamba-Cyhalothrin,1,71,88
286,1,0,Lamba-Cyhalothrin,2,184,88
287,0,1,Amidosulfuron,2,210,96
288,0,1,Chlormequat,2,86,83
289,1,1,Lamba-Cyhalothrin,2,131,86
290,0,1,Lamba-Cyhalothrin,1,267,99
291,1,1,Chlormequat,1,109,96
292,0,0,Chlormequat,1,291,99
293,0,0,Lamba-Cyhalothrin,3,126,81
294,0,1,Chlormequat,3,231,99
295,0,1,Lamba-Cyhalothrin,2,290,90
296,1,0,Lamba-Cyhalothrin,2,150,95
297,1,0,Lamba-Cyhalothrin,1,77,97
298,1,0,Lamba-Cyhalothrin,1,234,84
299,1,0,Chlormequat,3,290,84
300,1,0,Amidosulfuron,1,222,87
301,1,1,Chlormequat,2,163,91
302,0,0,Amidosulfuron,3,247,81
303,1,1,Lamba-Cyhalothrin,2,86,95
304,0,1,Chlormequat,2,233,85
305,0,0,Lamba-Cyhalothrin,1,173,90
306,0,1,Lamba-Cyhalothrin,3,64,91
307,1,1,Chlormequat,2,273,82
308,0,1,Lamba-Cyhalothrin,3,64,86
309,1,1,Chlormequat,1,152,94
310,1,1,Amidosulfuron,3,252,81
311,0,0,Chlormequat,2,171,88
312,0,0,Amidosulfuron,3,86,81
313,1,1,Chlormequat,3,214,92
314,0,1,Chlormequat,1,273,97
315,1,1,Lamba-Cyhalothrin,2,62,94
316,1,0,Chlormequat,3,63,80
317,1,0,Chlormequat,3,271,94
318,0,0,Chlormequat,1,224,96
319,0,0,Chlormequat,2,229,98
320,1,0,Amidosulfuron,3,168,83
321,0,1,Amidosulfuron,1,137,90
322,0,0,Amidosulfuron,2,95,91
323,0,0,Chlormequat,1,88,81
324,0,0,Lamba-Cyhalothrin,2,117,89
325,1,0,Amidosulfuron,1,200,86
326,0,0,Amidosulfuron,2,182,96
327,0,1,Lamba-Cyhalothrin,3,203,88
328,1,0,Chlormequat,3,218,99
329,0,1,Amidosulfuron,1,262,94
330,0,0,Lamba-Cyhalothrin,1,93,98
331,0,1,Chlormequat,3,75,95
332,0,0,Chlormequat,2,96,92
333,0,0,Lamba-Cyhalothrin,3,218,87
334,0,0,Chlormequat,1,93,99
335,1,0,Lamba-Cyhalothrin,3,134,99
336,0,1,Lamba-Cyhalothrin,2,215,96
337,1,0,Chlormequat,2,162,85
338,1,0,Amidosulfuron,2,128,97
339,1,0,Amidosulfuron,2,234,93
340,1,0,Amidosulfuron,3,173,94
341,1,1,Amidosulfuron,2,194,82
342,1,0,Lamba-Cyhalothrin,1,136,88
343,1,0,Chlormequat,2,198,95
344,1,1,Chlormequat,3,105,94
345,0,0,Lamba-Cyhalothrin,3,93,96
346,0,1,Lamba-Cyhalothrin,1,244,82
347,0,0,Chlormequat,1,233,80
348,0,1,Chlormequat,3,169,93
349,1,1,Chlormequat,1,172,94
350,1,1,Lamba-Cyhalothrin,3,249,85
351,0,1,Chlormequat,1,264,89
352,0,1,Lamba-Cyhalothrin,3,185,83
353,1,0,Chlormequat,2,271,97
354,1,0,Lamba-Cyhalothrin,3,131,94
355,1,1,Amidosulfuron,3,161,89
356,1,1,Amidosulfuron,3,168,91
357,1,1,Lamba-Cyhalothrin,3,259,89
358,1,0,Chlormequat,2,119,83
359,0,1,Lamba-Cyhalothrin,2,201,82
360,1,0,Amidosulfuron,3,99,98
361,1,1,Chlormequat,3,267,84
362,0,0,Chlormequat,3,63,90
363,1,1,Amidosulfuron,3,91,81
364,1,1,Chlormequat,3,149,82
365,0,0,Chlormequat,1,250,95
366,0,1,Amidosulfuron,1,84,95
367,0,0,Chlormequat,3,155,88
368,0,0,Lamba-Cyhalothrin,2,65,92
369,1,0,Amidosulfuron,3,177,97
370,1,1,Lamba-Cyhalothrin,1,192,95
371,1,1,Lamba-Cyhalothrin,2,167,97
372,1,1,Lamba-Cyhalothrin,2,106,86
373,1,0,Lamba-Cyhalothrin,3,138,80
374,1,1,Amidosulfuron,3,90,90
375,1,1,Chlormequat,1,136,86
376,1,1,Amidosulfuron,3,100,87
377,1,0,Lamba-Cyhalothrin,3,199,88
378,0,0,Chlormequat,2,62,80
379,0,1,Chlormequat,3,62,97
380,0,0,Lamba-Cyhalothrin,2,294,85
381,1,0,Amidosulfuron,3,169,96
382,0,0,Lamba-Cyhalothrin,2,277,92
383,1,0,Chlormequat,1,141,93
384,0,0,Amidosulfuron,1,133,83
385,1,0,Chlormequat,2,121,83
386,1,1,Lamba-Cyhalothrin,3,290,98
387,1,0,Amidosulfuron,2,130,83
388,1,0,Lamba-Cyhalothrin,3,150,89
389,0,1,Chlormequat,3,124,98
390,0,0,Lamba-Cyhalothrin,1,263,94
391,0,1,Chlormequat,1,183,90
392,1,1,Lamba-Cyhalothrin,3,82,94
393,0,1,Lamba-Cyhalothrin,1,121,88
394,0,1,Amidosulfuron,2,125,90
395,0,0,Amidosulfuron,2,192,80
396,0,1,Amidosulfuron,3,235,92
397,0,0,Amidosulfuron,2,92,86
398,1,0,Chlormequat,3,254,92
399,0,1,Chlormequat,3,86,82
400,0,0,Amidosulfuron,1,279,88
401,1,1,Amidosulfuron,3,256,92
402,1,1,Lamba-Cyhalothrin,1,144,93
403,0,0,Chlormequat,2,247,84
404,1,1,Chlormequat,3,239,91
405,1,0,Amidosulfuron,3,125,98
406,1,1,Chlormequat,2,173,91
407,0,1,Amidosulfuron,1,125,98
408,1,0,Amidosulfuron,3,290,86
409,1,0,Amidosulfuron,2,266,93
410,0,0,Lamba-Cyhalothrin,2,77,91
411,0,0,Chlormequat,2,217,81
412,1,1,Chlormequat,3,67,92
413,0,0,Chlormequat,2,141,97
414,1,1,Lamba-Cyhalothrin,3,206,88
415,1,0,Lamba-Cyhalothrin,2,178,94
416,1,0,Lamba-Cyhalothrin,1,218,89
417,1,1,Lamba-Cyhalothrin,1,277,87
418,0,0,Lamba-Cyhalothrin,3,239,89
419,0,0,Lamba-Cyhalothrin,2,138,86
420,0,1,Amidosulfuron,1,157,88
421,1,0,Lamba-Cyhalothrin,3,93,82
422,0,0,Lamba-Cyhalothrin,2,283,81
423,1,0,Amidosulfuron,3,287,97
424,0,0,Lamba-Cyhalothrin,3,74,88
425,1,1,Amidosulfuron,1,280,98
426,1,0,Chlormequat,2,205,85
427,1,1,Amidosulfuron,1,165,82
428,0,0,Chlormequat,2,234,88
429,1,0,Chlormequat,2,138,87
430,1,1,Lamba-Cyhalothrin,3,189,95
431,0,1,Lamba-Cyhalothrin,1,109,94
432,0,0,Chlormequat,3,170,85
433,1,1,Lamba-Cyhalothrin,2,247,81
434,0,0,Amidosulfuron,3,101,82
435,0,1,Lamba-Cyhalothrin,1,239,81
436,1,1,Amidosulfuron,3,68,91
437,1,0,Chlormequat,1,62,89
438,0,1,Lamba-Cyhalothrin,2,64,91
439,0,1,Chlormequat,3,286,88
440,0,0,Chlormequat,3,155,99
441,0,1,Amidosulfuron,3,157,89
442,0,0,Chlormequat,2,218,98
443,1,0,Lamba-Cyhalothrin,2,68,98
444,0,1,Amidosulfuron,2,144,80
445,0,1,Chlormequat,3,226,81
446,1,0,Amidosulfuron,3,82,86
447,0,1,Chlormequat,3,62,80
448,1,0,Amidosulfuron,1,83,88
449,1,0,Lamba-Cyhalothrin,1,236,81
450,0,1,Lamba-Cyhalothrin,1,212,85
451,1,1,Lamba-Cyhalothrin,1,276,81
452,0,0,Amidosulfuron,2,107,87
453,0,1,Chlormequat,3,86,87
454,1,0,Amidosulfuron,2,256,99
455,1,0,Lamba-Cyhalothrin,3,106,97
456,1,1,Amidosulfuron,1,64,85
457,0,0,Chlormequat,2,229,86
458,1,0,Amidosulfuron,2,153,83
459,0,0,Amidosulfuron,3,102,92
460,0,0,Lamba-Cyhalothrin,2,108,98
461,1,1,Chlormequat,3,122,89
462,1,1,Amidosulfuron,2,118,82
463,1,1,Chlormequat,2,94,89
464,1,1,Chlormequat,1,172,95
465,1,1,Chlormequat,2,193,90
466,1,1,Lamba-Cyhalothrin,2,219,99
467,0,0,Amidosulfuron,3,183,89
468,0,0,Amidosulfuron,3,135,99
469,0,0,Chlormequat,2,227,98
470,0,0,Amidosulfuron,2,60,86
471,0,0,Amidosulfuron,1,62,90
472,0,1,Amidosulfuron,3,256,94
473,1,0,Lamba-Cyhalothrin,1,67,99
474,1,1,Chlormequat,1,248,89
475,0,0,Lamba-Cyhalothrin,1,255,99
476,1,0,Lamba-Cyhalothrin,3,118,89
477,1,0,Lamba-Cyhalothrin,2,93,88
478,1,1,Chlormequat,3,109,94
479,0,1,Chlormequat,3,232,98
480,1,1,Lamba-Cyhalothrin,2,170,93
481,0,0,Lamba-Cyhalothrin,1,273,92
482,0,0,Amidosulfuron,1,186,93
483,1,1,Chlormequat,1,96,90
484,0,1,Chlormequat,1,180,83
485,0,0,Lamba-Cyhalothrin,1,186,86
486,0,0,Chlormequat,1,196,86
487,0,1,Lamba-Cyhalothrin,1,262,81
488,1,1,Lamba-Cyhalothrin,2,206,93
489,0,1,Chlormequat,2,277,89
490,1,0,Amidosulfuron,3,197,83
491,1,0,Amidosulfuron,1,82,87
492,1,1,Amidosulfuron,2,134,98
493,1,0,Chlormequat,1,273,86
494,0,0,Amidosulfuron,2,169,81
495,0,0,Amidosulfuron,3,239,94
496,0,1,Amidosulfuron,2,140,90
497,1,0,Lamba-Cyhalothrin,3,220,99
498,0,1,Lamba-Cyhalothrin,3,143,94
499,0,1,Amidosulfuron,2,248,97
500,0,1,Amidosulfuron,2,258,94
501,0,1,Chlormequat,3,228,82
502,0,0,Chlormequat,3,292,82
503,1,1,Amidosulfuron,2,83,97
504,1,0,Lamba-Cyhalothrin,1,252,96
505,1,1,Amidosulfuron,1,256,85
506,1,0,Amidosulfuron,3,141,96
507,1,0,Chlormequat,2,153,94
508,1,0,Lamba-Cyhalothrin,1,248,92
509,0,1,Amidosulfuron,3,277,86
510,1,0,Amidosulfuron,3,80,80
511,0,0,Lamba-Cyhalothrin,2,222,99
512,0,1,Amidosulfuron,3,251,98
513,0,0,Amidosulfuron,2,170,89
514,0,0,Lamba-Cyhalothrin,1,182,87
515,0,1,Amidosulfuron,1,123,96
516,0,1,Chlormequat,3,143,93
517,0,0,Amidosulfuron,1,61,90
518,0,0,Chlormequat,1,165,96
519,0,1,Chlormequat,2,60,83
520,1,1,Amidosulfuron,3,273,99
521,1,1,Lamba-Cyhalothrin,3,63,98
522,1,1,Amidosulfuron,1,256,81
523,1,0,Amidosulfuron,2,68,82
524,1,0,Amidosulfuron,2,141,82
525,0,0,Chlormequat,2,253,85
526,0,1,Amidosulfuron,2,262,82
527,1,1,Lamba-Cyhalothrin,1,176,87
528,1,1,Lamba-Cyhalothrin,3,112,97
529,1,0,Lamba-Cyhalothrin,1,273,80
530,0,0,Chlormequat,2,283,92
531,1,1,Amidosulfuron,3,185,97
532,0,0,Lamba-Cyhalothrin,2,263,87
533,0,1,Amidosulfuron,1,163,95
534,1,0,Lamba-Cyhalothrin,1,277,96
535,1,1,Amidosulfuron,3,270,93
536,1,0,Chlormequat,1,291,87
537,0,1,Amidosulfuron,3,225,89
538,1,1,Chlormequat,2,279,89
539,0,1,Lamba-Cyhalothrin,3,249,83
540,1,0,Chlormequat,1,202,94
541,1,0,Chlormequat,3,283,93
542,0,0,Lamba-Cyhalothrin,2,230,86
543,1,0,Chlormequat,1,128,89
544,1,0,Amidosulfuron,2,248,93
545,0,0,Chlormequat,3,108,81
546,1,0,Amidosulfuron,2,199,97
547,1,0,Lamba-Cyhalothrin,2,83,94
548,0,1,Chlormequat,3,153,91
549,0,0,Amidosulfuron,1,207,95
550,0,0,Chlormequat,2,282,85
551,1,0,Lamba-Cyhalothrin,3,154,98
552,0,1,Amidosulfuron,2,159,98
553,0,1,Lamba-Cyhalothrin,1,76,94
554,1,0,Amidosulfuron,3,105,89
555,1,1,Lamba-Cyhalothrin,1,79,88
556,1,0,Amidosulfuron,2,90,82
557,1,0,Chlormequat,3,74,92
558,1,1,Amidosulfuron,2,132,94
559,1,0,Amidosulfuron,1,214,94
560,0,1,Amidosulfuron,3,167,96
561,1,0,Chlormequat,2,152,89
562,1,0,Lamba-Cyhalothrin,3,68,83
563,1,0,Lamba-Cyhalothrin,1,167,91
564,0,1,Chlormequat,2,267,83
565,0,1,Lamba-Cyhalothrin,3,245,90
566,1,1,Chlormequat,3,150,91
567,1,0,Amidosulfuron,2,294,83
568,0,0,Amidosulfuron,1,181,90
569,0,0,Amidosulfuron,1,143,96
570,0,0,Chlormequat,1,233,83
571,0,0,Amidosulfuron,3,140,94
572,0,0,Lamba-Cyhalothrin,1,252,96
573,0,0,Chlormequat,1,191,91
574,0,0,Chlormequat,2,122,83
575,1,1,Amidosulfuron,2,230,85
576,0,1,Lamba-Cyhalothrin,3,174,88
577,0,0,Amidosulfuron,3,129,88
578,0,0,Amidosulfuron,1,68,81
579,1,0,Chlormequat,1,84,94
580,0,1,Amidosulfuron,2,266,89
581,0,1,Lamba-Cyhalothrin,3,285,95
582,1,1,Chlormequat,3,180,80
583,1,0,Chlormequat,2,229,91
584,0,1,Chlormequat,3,197,93
585,1,0,Amidosulfuron,2,147,83
586,0,1,Amidosulfuron,2,195,99
587,1,1,Chlormequat,2,69,84
588,0,0,Lamba-Cyhalothrin,2,119,96
589,0,0,Chlormequat,2,297,98
590,0,1,Amidosulfuron,2,157,80
591,1,0,Lamba-Cyhalothrin,2,93,95
592,0,0,Chlormequat,1,240,91
593,0,1,Lamba-Cyhalothrin,2,198,81
594,1,0,Lamba-Cyhalothrin,1,174,82
595,1,1,Amidosulfuron,2,125,99
596,1,1,Lamba-Cyhalothrin,2,269,96
597,0,1,Amidosulfuron,3,279,94
598,1,0,Chlormequat,2,84,84
599,0,0,Amidosulfuron,1,185,82
600,1,0,Amidosulfuron,3,145,92
601,1,1,Lamba-Cyhalothrin,1,146,98
602,1,1,Chlormequat,2,147,85
603,0,0,Chlormequat,1,254,84
604,1,1,Amidosulfuron,1,163,92
605,1,1,Lamba-Cyhalothrin,2,78,98
606,1,1,Amidosulfuron,1,271,89
607,0,0,Chlormequat,2,262,81
608,1,1,Chlormequat,1,275,94
609,1,0,Amidosulfuron,3,201,99
610,1,1,Lamba-Cyhalothrin,1,188,95
611,0,0,Amidosulfuron,1,69,94
612,0,1,Lamba-Cyhalothrin,2,112,92
613,0,0,Chlormequat,2,213,99
614,0,1,Amidosulfuron,3,216,94
615,0,0,Chlormequat,3,274,85
616,1,1,Chlormequat,2,99,99
617,1,1,Amidosulfuron,1,261,88
618,0,0,Lamba-Cyhalothrin,2,132,93
619,1,0,Amidosulfuron,1,149,82
620,0,1,Chlormequat,2,209,99
621,1,1,Amidosulfuron,2,91,81
622,0,1,Lamba-Cyhalothrin,2,127,88
623,1,0,Amidosulfuron,2,108,89
624,1,1,Chlormequat,2,203,85
625,1,1,Lamba-Cyhalothrin,2,282,82
626,1,1,Chlormequat,3,149,82
627,0,0,Lamba-Cyhalothrin,3,202,83
628,1,1,Lamba-Cyhalothrin,1,163,89
629,1,0,Chlormequat,3,188,94
630,0,0,Amidosulfuron,2,141,87
631,0,1,Amidosulfuron,1,222,97
632,0,1,Chlormequat,2,252,93
633,0,0,Lamba-Cyhalothrin,3,291,83
634,0,0,Amidosulfuron,3,224,95
